variable,or,se,ll,ul,p.value,race,model
2,2.226606467557579,0.12149480009480723,1.7547970873543302,2.8252704526903294,8.859988444502916e-11,Asian American,unweighted
3,1.248531390523344,0.0647829452320698,1.0996541634901191,1.4175644351444878,6.521335731316258e-4,Asian American,unweighted
4,1.1184734599887947,0.046258322061703896,1.021528595195954,1.2246185633788713,0.015731544253593927,Asian American,unweighted
5,1.0738129970309236,0.1563324037823296,0.7904206409522655,1.4588110340885818,0.6488405926252001,Asian American,unweighted
6,0.9439874356973765,0.18535877472008974,0.6564301783742413,1.357512661836323,0.7558976709959806,Asian American,unweighted
7,0.9531233490447489,0.20571861253471435,0.6368557998774063,1.4264518257808945,0.8155255295340654,Asian American,unweighted
8,0.6130589436414817,0.20487720000633677,0.41030843364789304,0.9159969368344456,0.017149361184401298,Asian American,unweighted
9,0.9809174202664107,0.19746043871076085,0.6661220610785629,1.4444784846551237,0.9223083227859827,Asian American,unweighted
10,1.0780952000302508,0.010221712292230376,1.0567113573521478,1.099911770836523,4.578044675538427e-13,Asian American,unweighted
11,1.1242570470872084,0.20951958780910074,0.745628023421431,1.6951534387420137,0.5763282066909068,Asian American,unweighted
12,1.137421327481542,0.1900031655528814,0.7837731463605094,1.650639961597768,0.4982527355575401,Asian American,unweighted
13,1.1351678636675926,0.35419705164748727,0.5669790486581722,2.272757841322877,0.7205864483667829,Asian American,unweighted
14,1.6507755406000095,0.2360195652673179,1.0394121931987506,2.621731689578307,0.03412861548826928,Asian American,unweighted
1,1.569516464386842e-4,0.7777685743303921,3.417653780159551e-5,7.207815918282896e-4,7.635720242770277e-27,Black,unweighted
2,1.6284055473444756,0.11394183319104016,1.3024921332250687,2.0358699749352347,2.159233399832776e-5,Black,unweighted
3,1.4475759721103358,0.06859364071154089,1.2654772816592592,1.6558781618613123,9.751854570452313e-8,Black,unweighted
4,1.2054302914562287,0.048136610669049604,1.096902795851225,1.3246954908457813,1.1490068607430051e-4,Black,unweighted
5,1.475389417994142,0.15117028515125766,1.097059756779528,1.9841890300662548,0.010291596209986481,Black,unweighted
6,1.383990878819359,0.16724468518633281,0.9971816860787122,1.9208442948720459,0.05229465402881541,Black,unweighted
7,0.6846128955616915,0.4572277405110449,0.27941654421043316,1.6774053880516886,0.40745644306925155,Black,unweighted
8,0.6573859529108346,0.6198607494253285,0.19507157627873747,2.2153729381208187,0.498748137407262,Black,unweighted
9,0.8508351139901422,0.16793927525861335,0.6122026916039037,1.1824848226361542,0.33634188605408033,Black,unweighted
10,1.0943048633265793,0.010151796313140737,1.0727464960029554,1.1162964767184884,5.7963150683647446e-18,Black,unweighted
11,2.0208038662336363,0.1948028557613123,1.379455428769732,2.9603336074633573,3.1898298207706983e-4,Black,unweighted
12,0.9743780990090971,0.18074068203577573,0.6837239080844348,1.3885907288053125,0.8858361948556266,Black,unweighted
13,0.4894946611102753,0.3183119945552643,0.26230121262622197,0.9134728004361126,0.025117652513340492,Black,unweighted
14,1.018077461618748,0.21130233008205648,0.6728526289520419,1.5404290230245197,0.9324519701075678,Black,unweighted
1,0.0014817026982404907,1.7609812443388153,4.696897892384552e-5,0.04674240182084427,3.1031101447784846e-4,indigenous,unweighted
2,1.0367845327028262,0.3278532994407306,0.545279631317655,1.971322795708129,0.9124758025067788,indigenous,unweighted
3,1.7319178182660162,0.1936228407795317,1.1849914572201512,2.531275066120628,0.005510471290253225,indigenous,unweighted
4,1.2578278837743448,0.13470507823869854,0.9659620122709947,1.6378811641677578,0.09104668637191014,indigenous,unweighted
5,1.173893659347191,0.42011098427772414,0.5152638078794785,2.6744093071987365,0.7033648930982414,indigenous,unweighted
6,0.9681723997559762,0.49636100658649673,0.3659733344673942,2.561273479154963,0.948154029741936,indigenous,unweighted
7,0.9177180783365132,0.7906748429999514,0.19484337359527795,4.322479413926928,0.9136834800761341,indigenous,unweighted
8,1.2015634756363616,0.9398222355015968,0.19044456420208541,7.580971355272337,0.8453933451681542,indigenous,unweighted
9,1.2669861184426014,0.45607762444492417,0.5182721580645888,3.097318270618344,0.6046949230818689,indigenous,unweighted
10,1.061428955444756,0.027301808643352025,1.0061241864281183,1.119773724410945,0.031172222650369605,indigenous,unweighted
11,1.1112035917337206,0.596781673673369,0.3449944868308832,3.5791105928229197,0.8600533141436273,indigenous,unweighted
12,1.2763372057400904,0.5813645159224402,0.40842005188080865,3.988630468201969,0.6755310788623257,indigenous,unweighted
13,0.5122020285922473,0.7274539336739844,0.12309244074743912,2.1313324888268697,0.35934730230120915,indigenous,unweighted
